Year,Site,Transect,Plot,DOY_canopy greenup
2017,A03C,A,3,157.614994
2017,A05C,A,5,161.6950179
2017,A08C,A,8,161.9560267
2017,B01C,B,1,150.3014356
2017,B03C,B,3,153.2650197
2017,B05C,B,5,157.9366781
2017,B07C,B,7,160.9721198
2017,B08C,B,8,160.0672715
2018,A01C,A,1,145.8658175
2018,A03C,A,3,145.4893403
2018,A05C,A,5,150.5753526
2018,A07C,A,7,166.1039444
2018,A08C,A,8,172.4619363
2018,B01C,B,1,148.1762166
2018,B05C,B,5,154.2398388
2018,B07C,B,7,172.1563496
2018,B08C,B,8,164.095661
2019,A01C,A,1,160.5023226
2019,A03C,A,3,163.89091
2019,A08C,A,8,175.0377548
2019,B03C,B,3,162.2981959
2019,B07C,B,7,169.5417811
2020,A01C,A,1,154.6937016
2020,A03C,A,3,156.8797298
2020,A05C,A,5,160.7543129
2020,B01C,B,1,151.0327291
2020,B03C,B,3,153.6557384
2020,B05C,B,5,160.6556035
2021,A01C,A,1,143.3615307
2021,A03C,A,3,149.1813107
2021,A05C,A,5,155.5853685
2021,B01C,B,1,144.1086473
2021,B03C,B,3,148.6463598
2021,B05C,B,5,155.4802209
2021,B08C,B,8,165.4043874
2022,A03C,A,3,146.7436416
2022,A05C,A,5,150.235651
2022,A07C,A,7,160.0105359
2022,A08C,A,8,163.3856661
2022,B01C,B,1,145.0461153
2022,B03C,B,3,145.2704146
2022,B05C,B,5,142.651807
2022,B07C,B,7,165.520602
2022,B08C,B,8,160.95432
2023,A01C,A,1,147.4274508
2023,A03C,A,3,149.9696697
2023,A07C,A,7,164.5835766
2023,A08C,A,8,169.2945048
2023,B01C,B,1,148.5943321
2023,B05C,B,5,150.6882577
2023,B07C,B,7,168.5282231
2023,B08C,B,8,171.247031
